,stop_name,stop_lon,stop_lat
76,Bois-Colombes (TRAIN J),2.271598750389754,48.91424647337489
77,Bois-le-Roi (TRAIN R),2.6920332598664,48.475523071455044
78,Boissise-le-Roi (RER D),2.572073662735743,48.529746917655004
79,Boissière (METRO 6),2.2900588335804875,48.86698310852867
80,Boissy-Saint-Léger (RER A),2.5045598383428365,48.75218571986767
81,Boissy-l'Aillerie (TRAIN J),2.0249529313753873,49.07584288390109
82,Bolivar (METRO 7bis),2.3744959662604246,48.88066746253543
83,Bondy (TRAM 4 RER E),2.4811194188340346,48.89387883525656
84,Bonne Nouvelle (METRO 9 METRO 8),2.3484911310789887,48.87059047709034
85,Bonneval (GL),1.3862450209435095,48.18643720866052
86,Bonnières (TRAIN J),1.5815321023350186,49.038762043832925
87,Boran-sur-Oise (TRAIN H),2.362303528565357,49.16677503888786
