,stop_name,stop_lon,stop_lat
96,Auvers-sur-Oise,2.174916445478343,49.07034498316611
97,Mortcerf,2.9074760676708205,48.789592035371314
98,Le Raincy - Villemomble - Montfermeil,2.513061005684412,48.8888544132907
99,Gare de l'Est,2.360305141171757,48.87857171221123
100,Champ de Courses d'Enghien,2.291148632256432,48.9796949197308
101,Villiers-sur-Marne - le Plessis-Trévise,2.542644466674205,48.82324786783017
102,Les Mureaux,1.9134674211236111,48.99259097971094
103,Plaisir - les Clayes,1.960091444651348,48.83083896712
104,Guérard - la Celle-sur-Morin,2.9538116993768355,48.81076877713248
105,Meudon Val Fleury,2.2409419171683638,48.807552358196936
106,Issy,2.257883547622023,48.81933737870203
107,Louvres,2.5018113143714777,49.04933726826723
108,Sarcelles - Saint-Brice,2.3686856352535357,48.99620491669132
